Protein-Name,Substrate,Subtype,Family,Family Name,Transporter Class,TC number
"ECED1_0811","aspartate:alanine antiporter","","AAE","The Aspartate:Alanine Exchanger (AAE) Family","Secondary Transporter","2.A.81"
"ECED1_4376","aspartate:alanine antiporter","","AAE","The Aspartate:Alanine Exchanger (AAE) Family","Secondary Transporter","2.A.81"
"ECED1_1546","aminobenzoyl-glutamate","","AbgT","The p-Aminobenzoyl-glutamate Transporter (AbgT) Family","Secondary Transporter","2.A.68"
"ECED1_2819","Unclassified","","AEC","The Auxin Efflux Carrier (AEC) Family","Secondary Transporter","2.A.69"
"ECED1_0006","sodium ion:alanine symporter","","AGCS","The Alanine or Glycine:Cation Symporter (AGCS) Family","Secondary Transporter","2.A.25"
"ECED1_1800","Autoinducer-2 export","","AI-2E","The Autoinducer-2 Exporter (AI-2E) Family (Formerly the PerM Family, TC #9.B.22)","Secondary Transporter","2.A.86"
"ECED1_1887","Autoinducer-2 export","","AI-2E","The Autoinducer-2 Exporter (AI-2E) Family (Formerly the PerM Family, TC #9.B.22)","Secondary Transporter","2.A.86"
"ECED1_2916","Autoinducer-2 export","","AI-2E","The Autoinducer-2 Exporter (AI-2E) Family (Formerly the PerM Family, TC #9.B.22)","Secondary Transporter","2.A.86"
"ECED1_4147","Autoinducer-2 export","","AI-2E","The Autoinducer-2 Exporter (AI-2E) Family (Formerly the PerM Family, TC #9.B.22)","Secondary Transporter","2.A.86"
"ECED1_0110","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_0425","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_0512","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_0568","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_0671","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_1606","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_1638","glutamate:GABA antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_1804","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_2365","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_2605","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_3116","GABA","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_3434","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_3436","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_3746","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_4481","GABA","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_4849","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_4868","arginine:ornithine antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_4929","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_4945","glutamate:GABA antiporter","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_5065","amino acid","","APC","The Amino Acid-Polyamine-Organocation (APC) Family","Secondary Transporter","2.A.3"
"ECED1_0983","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_1846","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_2359","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_3890","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_4022","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_4815","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_4999","fusaric acid efflux?","","ArAE","The Aromatic Acid Exporter (ArAE) Family","Secondary Transporter","2.A.85"
"ECED1_0783","sodium ion:dicarboxylate/sulfate","","ArsB","The Arsenite-Antimonite (ArsB) Efflux Family","Secondary Transporter","2.A.45"
"ECED1_2690","short-chain fatty acid","","AtoE","The Short Chain Fatty Acid Uptake (AtoE) Family","Secondary Transporter","2.A.73"
"ECED1_0039","glycine betaine/carnitine/choline","","BCCT","The Betaine/Carnitine/Choline Transporter (BCCT) Family","Secondary Transporter","2.A.15"
"ECED1_5138","glycine betaine/carnitine/choline","","BCCT","The Betaine/Carnitine/Choline Transporter (BCCT) Family","Secondary Transporter","2.A.15"
"ECED1_1588","benzoate","","BenE","The Benzoate:H+ Symporter (BenE) Family","Secondary Transporter","2.A.46"
"ECED1_1365","proton:calcium ion antiporter","","CaCA","The Ca2+:Cation Antiporter (CaCA) Family","Secondary Transporter","2.A.19"
"ECED1_3854","sodium ion:calcium ion antiporter","","CaCA","The Ca2+:Cation Antiporter (CaCA) Family","Secondary Transporter","2.A.19"
"ECED1_0713","cation efflux","","CDF","The Cation Diffusion Facilitator (CDF) Family","Secondary Transporter","2.A.4"
"ECED1_4617","cation efflux","","CDF","The Cation Diffusion Facilitator (CDF) Family","Secondary Transporter","2.A.4"
"ECED1_0161","chloride ion channel","","ClC","The Chloride Carrier/Channel (ClC) Family","Secondary Transporter","2.A.49"
"ECED1_1761","chloride ion channel","","ClC","The Chloride Carrier/Channel (ClC) Family","Secondary Transporter","2.A.49"
"ECED1_2836","chloride ion channel","","ClC","The Chloride Carrier/Channel (ClC) Family","Secondary Transporter","2.A.49"
"ECED1_2612","sodium ion:nucleoside symporter","","CNT","The Concentrative Nucleoside Transporter (CNT) Family","Secondary Transporter","2.A.41"
"ECED1_2839","sodium ion:nucleoside symporter","","CNT","The Concentrative Nucleoside Transporter (CNT) Family","Secondary Transporter","2.A.41"
"ECED1_1333","sodium ion:proton antiporter","","CPA1","The Monovalent Cation:Proton Antiporter-1 (CPA1) Family","Secondary Transporter","2.A.36"
